S. No,Original_Text,Model_summary,GPT2
87,"Who doesn't want to work for a reputed firm like Google? But, not everyone gets such a golden opportunity. But, a student of a government school in Chandigarh makes impossible, possible. Google hires a class 12 boy from Chandigarh, named Harshit Sharma. He will be reportedly working as a graphic designer for the tech company.  Update: The India Today Tech has learned that the reports of Google hiring a school student and at a salary of Rs 12 lakh per month are false. The report first appeared in a city supplement produced by the Indian Express. In a statement to India Today Tech, Google said: ""Currently, we don't have any information on our records with respect to Harshit Sharma's candidacy.""Harshit always wanted to work for Google. It was his dream company and he never imagined to fulfill it so soon, he says. Hard work pays off he adds. Google recruits Harshit as a trainee graphic designer for the time being. He will be working from Google's headquarter in California. He just applied for a job posted by the company, and got a reply after a few days. Harshit applied for position for the graphic designer, along with which he submitted few of his work, which also included a poster that he designed. Days after his application, Harshit received an appointment letter from Google in June, which mentioned that he has been hired. Also Read: Google Play services becomes the first ever app to cross 5 billion downloads on Play StoreGoogle will train him for the first month. During the training the company is said to pay Harshit a sum of Rs 4 lakh per month. However, after the training ends and he becomes a permanent employee, Google will pay him Rs 12 lakh as a monthly remuneration. ","Google has clarified that it has no ""information on [its] records with respect to Harshit Sharma's candidacy"", after a news about the tech giant hiring the class 12 Chandigarh boy went viral. It was reported that Harshit would get ?4 lakh monthly as trainee graphic designer, and ?12 lakh monthly after the training completes in a month.",
88,"A woman teacher in Odisha?s Sambalpur district on Tuesday placed under suspension on charge of getting herself massaged by a girl student in the school.The authorities took action against the lady teacher after a video of the incident went viral in the social media.Sambalpur District Education Officer (DEO), Pramod Panda confirmed about the suspension of the lady teacher of Sikirdi Project Upper Primary School, Bharati Meher.The DEO said Meher was suspended after the video came to our notice on?Tuesday.Meher, who is also in-charge headmistress of the school, admitted that a girl student had massaged her head. However, she said that the incident had taken place around two years ago when she was sitting in the office room.?Because of severe headache, I went inside the office room and sat there on that day. However, a class VIII girl student came to me to call me to take class. But on seeing my condition, she asked me how I was feeling. I told her about my headache. She herself told me that she would massage my head. This is the truth,? the lady teacher claimed.The girl, who massaged my head on that day, has already passed out from the school and therefore was not available for comment. ","A female teacher in Odisha was suspended on Tuesday for allegedly getting a massage by a schoolgirl on school premises. The teacher, Bharati Meher, said the incident took place around two years ago when she told a class eight student she had a headache and the latter offered to massage her head. A video of the incident went viral online.",
89,"Scores of easyJet passengers were stranded on the Greek island of Zakynthos (also known as Zante) after their plane developed technical difficulties and a replacement aircraft was prevented from flying in because of mating turtles. Passengers expressed fury at easyJet?s lack of communication and ?incredibly bad? handling of the delay, which began on Sunday afternoon.  Some travellers, who did not book on to other flights, were only able to make it home on Tuesday.  A fault with a wing flap was announced by the captain soon after passengers boarded the flight to Gatwick at around 3pm on Sunday, and there was no communication for another hour.  Despite being told the problem would be resolved in 20 minutes, passengers were soon asked to disembark.  They were forced to wait through ?hours of nothingness,? according to Rebecca Morris, 39, who was travelling with her husband and two small children.  She described the facilities at Zakynthos airport as ?basic? and said there was no help or guidance from easyJet apart from the odd automated text message.  ?There was no food or refreshments and there was no representative from easyJet,? Morris said.  She said that while her family?s travel agents helped them find accommodation and taxis, other passengers were left to ?fend for themselves?.  A similar process was repeated on Monday.  The airline said the night curfew ? apparently in place because of vulnerable loggerhead turtles breeding nearby ? had prevented an alternative aircraft being sent out. The sea turtle breeding season is well under way in Zakynthos. According to Archelon, a group dedicated in protecting sea turtles in Greece, late June to early July see the highest levels of spawning. The group has recorded 500 nests on the island so far, but that is fewer than in previous years. EasyJet later apologised for the delay. A spokesman said: ?Unfortunately easyJet was unable to operate flight EZY8746 from Zante to London Gatwick on Sunday 30 July due to a technical fault with the aircraft and had to delay the flight overnight.  ?Engineers were immediately dispatched to Zante and believed that the technical issue was rectified yesterday, however it then reoccurred before boarding which meant the flight could not operate. The safety of our passengers and crew is our highest priority and we will only operate if it is safe to do so.  ?We do all possible to try and minimise delays and as such planned to send a replacement aircraft. Unfortunately, due to the night curfew rule at the airport, we were unable to get the replacement aircraft into the airport. The flight departed Zante and arrived at London Gatwick today.  ?Around a quarter of passengers travelled on flights with alternative carriers yesterday afternoon. Passengers have been provided with hotel accommodation and expenses in line with EU261 regulations and will also be entitled to EU261 compensation.?","Passengers were stranded on Greek island Zakynthos for days after their easyJet plane developed technical difficulties on Sunday and a replacement plane couldn't fly in due to mating turtles. A flyer said there was no easyJet representative and passengers were forced to wait through ""hours of nothingness."" The airport has a night curfew to protect vulnerable loggerhead turtles breeding nearby. ",
90,"Bollywood actor Sushant Singh Rajput is all set to get special training at NASA (National Aeronautics and Space Administration) for his upcoming film, Chanda Mama Door Ke, where he plays an astronaut. In a new picture shared on Twitter, Sushant is seen wearing a white spacesuit. Taran Adarsh shared the picture and wrote, ?Sushant Singh Rajput to undergo special training at NASA?s Space & Rocket Center... Enacts the part of an astronaut in #ChandaMamaDoorKe.? Earlier, talking to a website al.com, the actor had said about real astronauts, ?Their training is something else, much deeper. They are trained to be put in a situation where you?re facing problems for the first time. So, with all your experience, with all your skills, with all your way of concentrating and not being anxious ? it?s not a question of pass or fail, it?s a question of life or death.?Sushant Singh Rajput to undergo special training at NASA's Space & Rocket Center... Enacts the part of an astronaut in #ChandaMamaDoorKe... pic.twitter.com/W4b9BYELCE? taran adarsh (@taran_adarsh) August 2, 2017Sushant visited the NASA centre in the US in July to prepare for the space adventure to experience zero gravity. Earlier, Sushant shared his photos from the visit to the US Space & Rocket Center. Dressed in a space suit and a cap, the actor was in full astronaut mode. Another photo was accompanied with a post stating: ?From a miniature Rocket to a life size one, this grown up kid will never cease to Dream. My mother always wanted her ?Sushant in Space?. (sic).?From a miniature Rocket to a life size one , this grown up kid will never cease to Dream.My mother always wanted her' Sushant in Space '!! pic.twitter.com/9z4pI61PRF? Sushant Singh Rajput (@itsSSR) July 22, 2017Neutral buoyancy, space walk drills and Orion simulations are were so much fun !! Can't wait to try more :) pic.twitter.com/8Xy1xBpngJ? Sushant Singh Rajput (@itsSSR) July 23, 2017Sending SOS from this tiny boxCause tonight I'm feeling like an..!!?? pic.twitter.com/7WanvgsiWF? Sushant Singh Rajput (@itsSSR) July 23, 2017The actor is reportedly being trained in neutral buoyancy, undergoing spacewalk drills and moon walks, experiencing zero gravity and Orion simulations. Directed by Sanjay Puran Singh Chauhan, the film also stars Nawazuddin Siddiqui and R. Madhavan.Follow @htshowbiz for more","A picture of Sushant Singh Rajput in a spacesuit at the National Aeronautics and Space Administration (NASA) has been shared on Twitter by producer Viki Rajani. The actor has started undergoing training for his role as an astronaut in the upcoming film 'Chanda Mama Door Ke'. Directed by Sanjay Puran Singh Chauhan, the film will release on January 26, 2018.",
91,"New Delhi, Aug 1 (PTI) A Sri Lankan national has been apprehended at the Delhi airport for entering a terminal allegedly using a fake ticket, officials said today. The man was apprehended last evening when a Central Industrial Security Force (CISF) personnel, deployed for the airports security, found him roaming suspiciously inside the terminal-III building, a senior official in airport security said. The man was identified as Nuwan U Fernando, a resident of Sri Lanka, he said. He told the CISF personnel that he had come to see off his mother, who was travelling to Colombo from the Indira Gandhi International Airport (IGIA), the official said. ","A Sri Lankan national was arrested for allegedly using a fake ticket to enter a terminal at the Delhi Airport on Monday, officials said. CISF personnel had found the accused, identified as Nuwan U Fernando, roaming suspiciously inside the terminal-III building. Fernando told officials he had used a cancelled ticket to enter the airport terminal to see off his mother. ",
92,"Twenty people, including six female employees of a multi-national company, went through a harrowing time on Saturday after being stuck in an elevator at Sector 53?s South Point Mall for close to 90 minutes. The women, according to the police, were off-duty and were returning home after a party when the elevator got stuck between the second and third floors. Two of the women fell unconscious due to lack of oxygen, said the police.Some people stuck later called the elevator control room, but the staff could not rectify the technical fault after which the police were called. A police team soon reached the spot and after assessing the situation broke a glass on the backside of the elevator, cracked open the glass wall of the lift and rescue the people.The police control room received information about the incident at Saturday midnight, after which Sector 53 police station was informed and a team rushed to the spot.?When we reached the spot, two women had already fallen unconscious. The elevator was stuck in the middle of two floors and was not moving in either direction. We had to break the back glass with a hammer and then break the glass wall of the elevator,? said Rahul Dev, SHO sector 53 police station. The police then used a ladder to get people out of the lift.The police have not registered any case in the matter with Dev stating that a case could be filed if a complained is received.Saturday?s incident was not a stray one as Gurgaon has witnessed a number of tragedies involving elevators in the last few years.On April 7, 2009, Nishant Sharma, an employee with marketing and consulting company Sapient, was killed after getting stuck under an elevator when he was trying to go to his office on the 10th floor of Cyber Greens building in DLF Phase 3. His body was crushed after the elevator suddenly moved and trapped his leg. He was rushed to a private hospital with cardiac and respiratory seizure where he died on April 11. Five years later, on the night of May 26, 2014, eighteen members of a family, including children, from Sushant Lok were trapped for more than an hour inside an elevator at a deluxe hotel on MG Road. The police had to break the glass of the elevator and rescue the family. The police later arrested two bouncers who did not help the victims and even dissuaded the police from breaking the elevator?s glass.On April 22 this year, an elevator at Central Park-2 on Sohna road fell to the lower basement with a family reportedly stuck inside.","Gurugram police on Saturday midnight rescued twenty people who were trapped in a mall lift for nearly 90 minutes. Police said that two out of six women fell unconscious in the lift due to lack of oxygen. Some trapped people had reportedly contacted the elevator control room, but the police were called when the staff couldn't fix the technical glitch.",
93,"Inordinate delay of a SpiceJet flight SG 143 resulted in a face-off between passengers and the airline crew on Tuesday. Scores of passengers including children and elderly were made to sit inside the flight for hours, claims passengers.The crew allegedly could not provide any reason for the delay. The flight was scheduled to take off at 8.55 pm but got delayed to 9.15 pm and then by another 15 minutes. The face-off between the passengers and the crew ensued after the flight failed to depart even after the said timing. The flight finally took off at 12.25 am.According to sources, a different aircraft flew the passengers to Bengaluru. SpiceJet, however, has not responded so far.","Passengers and cabin crew got into an argument on Tuesday after a Delhi-Bengaluru SpiceJet flight was repeatedly delayed. Passengers, including children, reportedly sat inside the aircraft for hours while no reason was given for the delay. The flight was scheduled to depart at 8:55 pm, while passengers were reportedly accommodated on a different aircraft that departed at 12:25 am. ",
94,"A 25-year-old post-graduate youth, who felt humiliated by a panchayat diktat asking him to drink a girl?s urine for allegedly raping her, claimed his life, police said.The incident happened over a week ago in a remote village of Targain in Budhal tehsil of Rajouri district, 150 km northwest of Jammu.The deceased has been identified as Fazal Hussain, son of Mohammed Abdullah.Before committing suicide by jumping into Samar Sar lake, near Targain village, Hussain had recorded an audio clip on a mobile phone wherein he stated that he never raped the girl and felt humiliated by the panchayat?s diktat.SSP Rajouri, Yougal Manhas told HT over phone that in the next two to three days, the police will ascertain the facts and take action accordingly.Manhas said the mobile phone belonged to one of Hussain?s relative, probably his cousin.?He had stated in the clip that he was asked by the panchayat to drink girl?s urine and he also claimed that he never raped the girl,? said the SSP.He, however, informed that none of the two families ever approached police.?They didn?t report the matter to police and appeared before village panchayat,? he added.The officer said that the Hussain?s body was recovered from the lake on Sunday after it was spotted floating by some shepherds in the upper reaches of Budhal.Another police officer from Budhal said that the parents of the girl from the same Targain village had approached the panchayat with a complaint of rape against the accused.?The girl?s family had sought justice and the panchayat came up with such a weird punishment,? he said.Initial investigations revealed that the panchayat had asked Hussain?s family to compensate the girl?s family with money.?But Fazal Hussain refused to pay. Thereafter, the panchayat asked him to drink the girl?s urine. Baffled by the weird diktat, Fazal sought two days time to mentally get ready, but on Sunday, his body was found in the lake,? he added.","A 25-year-old man from Jammu and Kashmir accused of rape committed suicide after the Panchayat directed him to drink urine of the victim. Police said he also recorded an audio clip before killing himself, wherein he claimed of never raping the girl. The Panchayat's initial direction was to compensate the girl's family with money, which the man refused, police added.",
95,"The Maharashtra government on Tuesday admitted that adopting online assessment system  by the University of Mumbai (MU) for evaluating answer papers delayed declaration of results. The state has now promised to implement the system gradually to avoid similar problems in the future.    ?It is a serious issue. The MU had recently shifted to an online system for assessment of answer papers, which caused a delay in completing the assessment work. Scenario would have been different if it had been implemented in stages,? chief minister Devendra Fadnavis said.    Fadnavis was replying to a query raised by Nationalist Congress Party legislator and former deputy chief minister Ajit Pawar. The NCP leader said the university had failed to meet the July 31 deadline given by the governor Ch Vidysagar Rao for completing assessment work. Of 477 courses offered by the varsity, it declared results for only 173 courses on Monday. Asking the chief minister to intervene, Pawar said the issue had tarnished the university?s reputation in the country. Further delay in declaring results may also impact students who want to pursue higher education abroad, he added. Fadnavis said the online assessment system is the need of the hour and has been adopted worldwide. ?The system ensures that evaluators assess answer papers online, thus bringing transparency. The government will make sure that the system is implemented smoothly in phases,? he said.   He also informed the assembly that of 17.50 lakh answer sheets, 14 lakh have been evaluated so far. The governor has now set a new deadline of August 5 to declare the pending 304 results.   ?Mark sheets of students, who wish to pursue higher education abroad, will be made available by August 15,? Fadnavis said. ","Maharashtra Chief Minister Devendra Fadnavis on Tuesday said that the newly adopted online assessment system delayed the declaration of Mumbai University results. He added that the government will implement technological changes systematically and in phases to avoid similar problems in the future. Notably, 14 lakh out of the 17.5 lakh answer sheets have been evaluated so far. ",
96,"New Delhi, Aug 1 (PTI) Shops at the domestic terminal of Delhi airport have been relocated to provide additional space for seamless passenger movement, the government said today. A Public Accounts Committee headed by Congress leader K V Thomas had in its draft report indicted the Delhi airport operator about shrinkage of space for passengers because of restaurants, retail outlets, duty-free complexes and executive lounges. The Committee had said that this could hamper passenger movement incase of a mishap. ","Shops at the domestic terminal of Delhi Airport have been relocated to provide additional space for seamless passenger movement, MoS for Civil Aviation Jayant Sinha said on Tuesday. This comes after a draft report by the Public Accounts Committee said lesser space for passengers due to shops and restaurants could hamper passenger movement during a mishap.",
97,"Facing pressure from President Donald Trump to cut the cost of new Air Force One aircraft, the US Air Force is negotiating with Boeing to purchase two 747-8 jetliners that were built for a Russian airline that went bankrupt before they were delivered.?We?re working through the final stages of coordination to purchase two commercial 747-8 aircraft and expect to award a contract soon,? said Air Force spokeswoman Ann Stefanek, who declined to elaborate on the details.National security publication Defense One, which first reported the negotiations, said the Air Force was believed to be getting a good deal on the aircraft, which sell for about $386 million on average.The two aircraft were initially ordered four years ago by Transaero, a Russian airline that went bankrupt in 2015, a person familiar with the talks told Reuters.Boeing built two 747-8s out of an order of four. But the airline never took ownership of them, and the planes have been stored in the Mojave Desert, where the dry, hot climate slows corrosion, Defense One said.Trump rattled Boeing in December before taking office by saying in a Twitter message: Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!? Donald J. Trump (@realDonaldTrump) December 6, 2016Boeing Chief Executive Officer Dennis Muilenburg called Trump and told him the cost could be reduced if the Air Force changed its requirements, sources familiar with the conversation said at the time.White House officials in December were unclear where Trump obtained the $4 billion figure. The Air Force has estimated it would spend $2.87 billion through 2021 for development of a new presidential aircraft. The cost of refitting the commercial 747-8s with the enhanced electronics and security systems required for Air Force One were unclear.Boeing had said it expected to add the Air Force One jets to its backlog, which currently numbers 20 planes - five passenger models and 15 freighters.The redeployment to the Air Force of jets already built for another customer would effectively reduce Boeing?s future 747 production plans by two aircraft. But it would provide a home for two airframes that have been built but remain unsold.The Air Force operates two military versions of the Boeing 747-200B aircraft that serve as Air Force One when the president is aboard. Both are nearing the end of their planned 30-year life. ","The US Air Force is negotiating with Boeing to purchase two 747-8 jetliners once built for Russian airline Transaero, which went bankrupt before the planes were delivered. The jetliners will be used as the new Air Force One and its backup. Air Force One is the aircraft that carries the President of the United States. ",
98,"Allahabad, Aug 01 (PTI) The Allahabad High Court today said it would hear afresh the appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help Hemraj, seven months after reserving its judgement in the matter. A division bench comprising Justices Bala Krishna Narayana and Arvind Kumar Mishra said it would hear the matter again due to ""contradictions"" in some submissions made by the CBI in the sensational murder case and fixed August 31 for resuming the hearing. The court had on January 11 last reserved its judgement on the appeals filed by the Noida-based dentist couple who were awarded life imprisonment by a special CBI court at Ghaziabad on November 26, 2013. ","The Allahabad High Court on Tuesday said it would hear fresh appeals filed by Rajesh and Nupur Talwar challenging their conviction in the murder of their daughter Aarushi and domestic help, Hemraj. The court said it would hear the matter again due to ""contradictions"" in some submissions made by the CBI and fixed a hearing for August 31. ",
99,"Motorman Mahendra Prasad called up the railway police control room on Sunday and informed officials that a 15-year-old boy and 25-year-old youth had fallen from a train and were found injured on the tracks between Lower Parel and Elphinston stations. Mohammed Ansari, 25, and Mohammed Nisar, 15, were among the 10 people injured while travelling on Western and Central Railway line on Sunday.Sunday recorded 13 track deaths, the highest on a single day this year. In the past six months, around 1,590 people have been killed while travelling on trains ? 676 died after falling off trains. On an average, seven people are killed daily on railway tracks. According to the railway data, 348 people died on the Central line while 323 persons died after falling off trains on the Western line this year till June. Kalyan and Borivli railway stations recorded the maximum number of deaths due to falling off trains especially during peak hours. Track crossing has killed 115 people in the Central line and 59 in the Western line. The Government Railway Police officers said the commuter count has increased, leading to crowded trains. Last year, out of 3,202 deaths recorded, a majority were due to track crossing. ?We had taken several initiatives to stop people from crossing track. The railways had put up fences at many places between the tracks to prevent track crossing,? said Niket Kaushik, police commissioner (GRP). The GRP officers said that overcrowding is the main reason of people falling off trains which is a concern for the authorities. Activists have been writing to the railway authorities to increase the number of coaches in trains.  Deaths till June 30 this year Track crossing: 147 Falling from trains: 676 Electric shock: 20 Death due to injury: 293 Accidental: 383Read: Crossing tracks led to 1,798 of 3,202 train fatalities in Mumbai in 2016Two die after falling off moving trains in Mumbai","As many as 13 people died while travelling in Mumbai's local trains on Sunday, according to railway data. Almost 1,600 people have been killed while travelling in trains in the past six months, it added. Of the 1,600, 700 lost their lives by falling off the train,147 were killed while crossing railway tracks, and 20 people died of electric shock. ",
100,"Bored in confines of a sprawling resort in Bengaluru, the Congress flock of 44 MLAs is a frustrated lot now. Following strict orders of the Karnataka Power Minister DK Shivakumar, the MLAs are not allowed to venture out in the city. While the minister is presently in New Delhi to seek further course of action, 30 MLAs have been put in-charge of the discipline. But few defiant MLAs did head out in the city for sightseeing, shopping, to visit temples, much to the dismay of those still under curbs. The MLAs who were allowed to go out are supposedly those, the Congress is confident of not ditching the party. ","The Gujarat Congress MLAs staying in a Bengaluru resort are not allowed to go out, and 30 MLAs from Karnataka have been put in charge of the discipline. The party has planned seminars and programmes for their entertainment inside the resort. These include a lecture on the corruption charges against UPA, and Congress' achievements in 60 years, transparency and accountability.",
101,"There is only a 5% chance that the Earth will avoid warming by at least 2C come the end of the century, according to new research that paints a sobering picture of the international effort to stem dangerous climate change.Global trends in the economy, emissions and population growth make it extremely unlikely that the planet will remain below the 2C threshold set out in the Paris climate agreement in 2015, the study states. The Paris accord, signed by 195 countries, commits to holding the average global temperature to ?well below 2C? above pre-industrial levels and sets a more aspirational goal to limit warming to 1.5C. This latter target is barely plausible, the new research finds, with just a 1% chance that temperatures will rise by less than 1.5C. ?We?re closer to the margin than we think,? said Adrian Raftery, a University of Washington academic who led the research, published in Nature Climate Change. ?If we want to avoid 2C, we have very little time left. The public should be very concerned.? Governments settled on the 2C threshold partly through political expediency but also because scientists have warned of severe consequences from sea level rise, drought, heatwaves and social unrest should the temperature rise beyond this.  Such risks have been underscored by a separate study, also released on Monday, that shows unabated climate change will cause around 60,000 deaths globally in 2030 and 260,000 deaths by 2100. The study, by the University of North Carolina, found that rising temperatures will exacerbate air pollutants that will particularly threaten those with existing conditions.  According to the University of Washington study, there is a 90% likelihood that temperatures will rise between 2C and 4.9C by 2100. This would put the world in the mid-range warming scenarios mapped out by the UN?s Intergovernmental Panel on Climate Change. It negates the most optimistic outcome as well as the worst case, which would see temperatures climb nearly 6C beyond the pre-industrial era. Rather than look at how greenhouse gases will influence temperature, the new research analyzed the past 50 years of trends in world population, per capita gross domestic product (GDP) and carbon intensity, which is the amount of carbon dioxide emitted for each dollar of economic activity. After building a statistical model covering a range of emissions scenarios, the researchers found that carbon intensity will be a crucial factor in future warming. Technological advances are expected to cut global carbon intensity by 90% over the course of the century, with sharp declines in China and India ? two newly voracious consumers of energy. However, this decline still will not be steep enough to avoid breaching the 2C limit.  The world?s population is expected to grow to about 11 billion people by 2100, but the research found that this will have a relatively small impact upon temperatures as much of this growth will take place in sub-Saharan Africa, which is a minor contributor of greenhouse gas emissions. It has long been acknowledged that emissions cuts promised under the the Paris agreement would not be sufficient to avoid 2C warming. However, it is hoped that periodic reviews of commitments will result in more severe reductions. Donald Trump?s pledge to remove the US, the world?s second-largest emitter, from the accord has cast a large shadow over these ambitions.  ?Even if the 2C target isn?t met, action is very important,? said Raftery. ?The more the temperature increases, the worse the impacts will be. ?We would warn against any tendency to use our results to say that we won?t avoid 2C, and so it?s too late to do anything. On the contrary, avoiding the higher temperature increases that our model envisages is even more important, and also requires urgent action.? Raftery acknowledged that a breakthrough technology could ?dramatically? change the outlook but noted that major advances of the past 50 years, such as the computer, robotics, hybrid cars, the internet and electronic fuel injection, have improved carbon efficiency steadily at around 2% a year, rather than in huge jumps. Andrew Dessler, a climate scientist at Texas A&M University who was not involved in the study, said the research?s conclusions were ?reasonable? but said it was difficult to assign a precise probability to future temperature rises. ?I agree that staying below 2C and 1.5C are unlikely and very, very unlikely, respectively,? he said. ?But this research gives a false sense of rigor. Tomorrow someone could invent a carbon-free energy source that everyone adopts. ?If you look at technology adoption and action taken on the ozone layer and acid rain, it?s clear these things can change faster than people predict.? Dessler said the falling cost of renewable energy would be a major factor in reducing emissions but further impetus would be needed through new actions such as a price on carbon.  ?It?s like you?re driving and about to collide with the car in front of you,? he said. ?You want to hit the brakes as fast as you can. The later you wait, the more painful it?s going to be.?John Sterman, an academic at the MIT Sloan Sustainability Initiative, said the research was an ?urgent call to action?. MIT research has shown that emissions cuts in the Paris agreement would stave off around 1C of temperature increase by 2100 ? findings misrepresented by Trump when he announced the US departure from the pact.Sterman said the US must ?dramatically speed the deployment of renewable energy and especially energy efficiency. Fortunately, renewables, storage and other technologies are already cheaper than fossil energy in many places and costs are falling fast.?More aggressive policies are urgently needed, but this study should not be taken as evidence that nothing can be done.?","According to a recently published US-based research, there is only a 5% chance that Earth will avoid warming by at least 2°C by 2100, the threshold set in the Paris climate agreement. The research studied global trends in the economy, emissions and population growth, and further stated that there is 1% chance that temperatures will rise by less than 1.5°C.",
102,"After a swarm of bees held up a Hyderabad-Pune flight last week for more than one hour, the country aviation regulator said it will investigate how a bee hive was allowed to flourish in the airport area. The flight on July 26 was held up when the ATR?72 - a short-haul aircraft - was besieged by bees. The flight, which was scheduled to take off at around 6.25pm, took off only at around 7.22pm after a repellent spray was used to clear the insects from the apron area. This was the first such incident in the past five years.  A Directorate General of Civil Aviation (DGCA) official on Monday said, ?We will look into the matter and necessary action will be taken.? Air India spokesperson, Dhananjay Kumar, confirmed the incident and said that taking safety as priority, the pilot took necessary precautions before taking off the flight. ?The swarms of bees kept coming and settling on the wind screen of the cockpit, not allowing the pilot to push back,? he explained.The incident took place when the flight was to line up for its scheduled take off. The Flight 9I 867 of Alliance Air, a subsidiary of Air India, couldn?t push back when a group of bees surrounded the twin engine turboprop. Though the aircraft?s door was shut to stop bees from entering it, the pilot got in touch with the Air Traffic Control (ATC) who in turn informed the airport operator. The pilot had to then call for a spray in order to get rid of the bees. Commenting on the incident, Captain Mohan Ranganathan, aviation safety expert, said, ?Bees do not pose a threat to the ATR but the engineers and other ground staff who play a major role before take-off would  have found it impossible to perform their functions due to their presence.? Pilots said that the bee hives shouldn?t be in the airport premises as part of the air safety measures taken in the airport. Former Indian Air Force helicopter pilot and aviation expert, Vipul Saxena, said that the delay will not only be with respect to the safety of the passengers but also for the safety of the cockpit crew.?The DGCA should take a note of the incident and ensure that they do not occur again,? said a senior pilot associated with a leading airline. ","A swarm of bees reportedly attacked a Hyderabad-Pune flight last week and delayed it by almost an hour. The flight was able to take off only after a repellent spray was used to clear the insects from the area. ""We will look into the matter and necessary action will be taken,"" a Directorate General of Civil Aviation official said. ",
103,"New Delhi, Aug 1 (PTI) Flight Lt Shikha Pandey, a member of the Indian womens cricket team, was today felicitated by Indian Air Force chief BS Dhanoa for her sterling performance at the recent World Cup. Pandey was awarded the chief of the air staff commendation by Air Chief Marshal Dhanoa for her performance at the recently concluded ICC Women World Cup, the IAF said. The Indian womens cricket team finished runner-up, losing to England narrowly by nine runs. However, the teams magnificent performance to reach the finals won laurels from all quarters. ","Flight Lt Shikha Pandey, a member of the Indian women's cricket team, was felicitated by Indian Air Force Chief BS Dhanoa for her performance at the Women's World Cup 2017. Pandey, commissioned in the IAF on June 30, 2012, as an air traffic control officer, was awarded the Chief of the Air Staff commendation by the Air Chief Marshal.",
104,"The Raghubar Das government in Jharkhand on Tuesday cleared the draft of an anti-conversion bill which discourages conversion to another religion through force or allurement even as opposition, religious groups and tribal activists criticised the move.The Jharkhand Anti-Conversion bill is likely to be tabled in the upcoming monsoon session of the assembly beginning August 8, home department sources said.As per the draft, anyone found guilty of forcibly converting ones religion through force or allurement, would be liable for punishment that includes jail term of three years and fine Rs 50,000.Individuals voluntarily opting to switch to another religion would have to inform the local deputy commissioner/collector about the reasons and the place of conversion, failing which he will be liable for prosecution and punishment.As per the cabinet decision, if forced conversion is found against minor, tribal, SC or woman, the culprit would be liable for imprisonment of up to four years and fine of Rs 1 lakh.If passed, Jharkhand would become the sixth Indian state to have an ?anti-conversion law? following Madhya Pradesh, Chhattisgarh, Odisha, Gujarat and Himachal Pradesh.Jharkhand Population Stats26% of Jharkhand population is tribalOf them, 39 % claim to be Hindus while 14.5 % follow ChristianityAs per 2011 census, Christian population rose by 29.7%, Muslims by 28.4% and Hindus by 21%Jharkhand government has identified 106 Christian affiliate NGOs that are misusing government money for religious conversionEver since the BJP government came to power with a full majority in December 2014, it has stepped up efforts to check religious conversion, specifically of tribals, who constitute 26% of the state?s total population.The trigger for the proposed bill came early this year when the government of India released the population census. As per the 2011 census, the Christian population in Jharkhand rose by a whopping 29.7% in the last 10 years followed by that of Muslims 28.4%, while Hindu population rose by 21%.To begin with, the government curbed the flow of government funds to various Christian affiliate social organisations and development groups that were allegedly misusing government money to convert people.Chief minister Das has voiced his concerns over the conversion of tribals through force or allurement on several occasions, and asked gullible tribals to protect their culture and religious practices at any cost.?Those indulging in forcible religious conversion would not be spared,? Das had said at a couple of public meetings in Gumla and Khunti, urging tribals not to fall prey to the baits of Christian missionary organisations.Christian and pro-Christian tribal groups had then raised objections over the CM?s remarks. Senior IAS officer Vandana Dadel, a tribal and practicing Catholic, shared her anguish on Facebook over the government?s over-indulgence in checking religious conversions, which, she said, is an individual?s choice and hence, should be left to the people.Christian groups have again upped their ante, this time, against the proposed legislation.?The BJP government?s intentions are not good. It wants to divide the tribals to further their political agenda in preparations for the next election,? said Prem Chand Murmu, president of Adivasi Budhijivi Manch (ABM).?Conversion is an individual choice. When one converts, his religion changes, not his caste. Reservation is given on basis of caste, not religion. But the BJP government is relating conversion to caste, which is not fair. We will protest the legislation,? he said.Murmu on Monday called on the National ST Commission and drew its attention towards the alleged violation of democratic rights of tribals in the state.Opposition Congress and JMM too criticised the proposed legislation. ?BJP wants to impose the RSS ideology on tribals and further their divide and rule agenda in the state,? said state Congress secretary, Aditya Vikram Jaiswal.JMM spokesperson Supriyo Bhattacharya said the legislation is aimed at creating friction among the tribal society, which does not augur well for the secular fabric of the nation. ?We will oppose the legislation tooth and nail,? he said.","The Jharkhand government on Tuesday cleared a draft anti-conversion bill which aims to ban religious conversion through force or allurement. Anyone found guilty of forced conversion will be liable to a punishment of three years in jail and/or a fine of ?50,000. Individuals voluntarily opting to change religion will need to inform local authorities about reasons for the conversion beforehand.",
